key,label,suggested_label,rule_label,ml_confidence,reason,source_file,visual_id,instance,plist,die_id,vmin_found,num_rows,num_cols,total_fail_ratio,top_fail_ratio,bot_fail_ratio,left_fail_ratio,right_fail_ratio,center_fail_ratio,edge_fail_ratio,left_edge_fail_ratio,right_edge_fail_ratio,center_band_fail_ratio,q_tl_ratio,q_tr_ratio,q_bl_ratio,q_br_ratio,is_diagonal,isolated_fail_ratio,largest_cluster_ratio,avg_row_transitions,max_row_transitions,num_rows,num_cols,vertical_symmetry,horizontal_symmetry,vertical_gradient,horizontal_gradient,boundary_monotonicity,boundary_spread,aspect_ratio,fail_row_fraction,fail_col_fraction
D54K6E5600330_25ww23p3_shmoo_cwf_IO_chk_f2_rep.txt|NO_VID|SHMOO_X_SHMOO_E_BEGIN_SSN_CFCIO_X_X_X_X_IO_NORTH|reset_Mscn_stf200_IO_SSN_global_scan|0,floor,floor,diagonal,0.4300,low_confidence+rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\D54K6E5600330_25ww23p3_shmoo_cwf_IO_chk_f2_rep.txt,,SHMOO_X_SHMOO_E_BEGIN_SSN_CFCIO_X_X_X_X_IO_NORTH,reset_Mscn_stf200_IO_SSN_global_scan,U1,Vmin Found: 0.620V,21,5,0.4095,0.2,0.64,0.6429,0.254,0.0606,0.5694,1,0.2381,0.2698,0.5,0,0.8,0.5333,1,0.0233,1,0.7619,1,21,5,0.581,0.6762,-0.44,-0.3889,1,0.4,0.2381,1,1
D55Y5V1600313_25ww24p1_shmoo_cwf_COMP_CA1TF_DDIMB.txt|NO_VID|ATPG_DDI_VMIN_K_BEGIN_STF_VCCINF_VNOM_X_COMP_IE|reset_Mscn_hvm400RPT8x_SSN_global_scan|0,speed_limit,speed_limit,speckled,0.4467,low_confidence+rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\D55Y5V1600313_25ww24p1_shmoo_cwf_COMP_CA1TF_DDIMB.txt,,ATPG_DDI_VMIN_K_BEGIN_STF_VCCINF_VNOM_X_COMP_IE,reset_Mscn_hvm400RPT8x_SSN_global_scan,U3.U1,Vmin Found (High): 0.700V,23,21,0.5197,0.2063,0.8615,0.4435,0.5889,0.5385,0.5118,0.441,0.5404,0.5776,0.0917,0.3106,0.8273,0.8926,0,0.0717,0.9402,3.5217,10,23,21,0.3292,0.7764,-0.6551,0.1455,0.7692,0.0476,0.913,1,1
D55Y5V1600313_25ww25p3_shmoo_cwf_COMP_DDIMB_rep_reorder.txt|NO_VID|SHMOO_X_SHMOO_E_BEGIN_STF_VCCINF_X_X_X_X_COMP|reset_Mscn_hvm400RPT8x_SSN_global_scan|0,speed_limit,speed_limit,mixed,0.5100,low_confidence+rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\D55Y5V1600313_25ww25p3_shmoo_cwf_COMP_DDIMB_rep_reorder.txt,,SHMOO_X_SHMOO_E_BEGIN_STF_VCCINF_X_X_X_X_COMP,reset_Mscn_hvm400RPT8x_SSN_global_scan,,Vmin Found: 0.670V,46,21,0.9482,0.9213,0.9752,0.9543,0.9427,0.8712,0.9772,0.972,0.9596,0.913,0.9391,0.9051,0.9696,0.9802,0,0.0022,1,1.1522,11,46,21,0.8965,0.9337,-0.0538,-0.0117,0.5833,0.619,0.4565,1,1
J615046MV_5261_chk_2_20260406201408_QAHOT.itf|D6BU385800058|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.5983,low_confidence+rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_2_20260406201408_QAHOT.itf,D6BU385800058,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,128,0.4766,0.4766,0,0.9531,0,0.4688,0.4844,0.9762,0,0.4545,0.9531,0,0,0,0,0.0328,1,2,2,1,128,1,0.0469,0.4766,-0.9531,0,0,128,1,0.4766
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D6FN374300110|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.6021,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D6FN374300110,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4961,0.4961,0,1,0,0.4923,0.5,1,0,0.4884,1,0,0,0,0,0.0317,1,1,1,1,127,1,0.0079,0.4961,-1,0,0,127,1,0.4961
J615046MV_5261_chk_3_20260406202438_QAHOT.itf|D63K3U5800077|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.6021,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_3_20260406202438_QAHOT.itf,D63K3U5800077,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4961,0.4961,0,1,0,0.4923,0.5,1,0,0.4884,1,0,0,0,0,0.0317,1,1,1,1,127,1,0.0079,0.4961,-1,0,0,127,1,0.4961
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf|D6911LW000133|TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_7911|scn_c_ddrd_f1_lttcddrd_sEs_edt_ddrmc_tatpg_ph1_list|0,floor,floor,diagonal,0.6333,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf,D6911LW000133,TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_7911,scn_c_ddrd_f1_lttcddrd_sEs_edt_ddrmc_tatpg_ph1_list,,Vmin Found: 0.680V,26,9,0.3162,0.0085,0.6239,0.3365,0.3,0.2,0.3659,0.3205,0.2821,0.3462,0.0192,0,0.6538,0.6,1,0.0541,0.9865,0.6154,4,26,9,0.3675,0.9402,-0.6154,-0.0365,1,0.8889,0.3462,0.4615,1
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf|D6911LW000133|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.6433,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf,D6911LW000133,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4882,0.4882,0,0.9841,0,0.4769,0.5,1,0,0.4651,0.9841,0,0,0,0,0.0484,0.9839,3,3,1,127,1,0.0236,0.4882,-0.9841,0,0,127,1,0.4882
J615046MV_5261_chk_2_20260406201408_QAHOT.itf|D51WH87200131|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.6563,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_2_20260406201408_QAHOT.itf,D51WH87200131,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,128,0.5078,0.5078,0,0.9844,0.0312,0.5312,0.4844,0.9762,0,0.5455,0.9844,0.0312,0,0,0,0.0308,1,2,2,1,128,1,0.0469,0.5078,-0.9531,0,0,128,1,0.5078
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5KY222800060|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.6645,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_1_20260406201304_QAHOT.itf,D5KY222800060,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_P_SOC_SPARE0_DIE_B_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,128,0.5469,0.5469,0,0.9844,0.1094,0.6094,0.4844,0.9762,0,0.6591,0.9844,0.1094,0,0,0,0.0286,1,2,2,1,128,1,0.125,0.5469,-0.875,0,0,128,1,0.5469
J615046MV_5261_chk_2_20260406201408_QAHOT.itf|D6BU385800058|SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all||0,unknown,unknown,left wall,0.7294,rule_ml_disagree,C:\Scripts\shmoo_parser\test_data\test_small\J615046MV_5261_chk_2_20260406201408_QAHOT.itf,D6BU385800058,SIO_BSCAN_COMP::BSCAN_X_EYEDIAGRAM_E_BEGIN_TAP_VNN_VMIN_X_MEASURE_RCOMP_N_SOC_SPARE0_DIE_D_RCOMP_CTV_left_all,,,Vmin Found: 0.000V,1,127,0.4646,0.4646,0,0.9365,0,0.4308,0.5,1,0,0.3953,0.9365,0,0,0,0,0.0339,1,1,1,1,127,1,0.0709,0.4646,-0.9365,0,0,127,1,0.4646
